Anzahl Trainingsfragen,Confidence,Precision,Recall,F-Score
0,0.5061111111111111,0.03960905349794239,0.03960905349794239,0.06596119929453263
10,0.5105555555555555,0.1388888888888889,0.1388888888888889,0.15555555555555556
20,0.43611111111111117,0.08796296296296297,0.08796296296296297,0.10555555555555556
30,0.43611111111111106,0.08796296296296297,0.08796296296296297,0.10555555555555556
40,0.4427777777777777,0.1111111111111111,0.1111111111111111,0.1111111111111111
50,0.41222222222222216,0.05555555555555555,0.05555555555555555,0.05555555555555555
60,0.3705555555555555,0.1111111111111111,0.1111111111111111,0.1111111111111111
70,0.35555555555555557,0.12962962962962962,0.12962962962962962,0.1388888888888889
80,0.405,0.1435185185185185,0.1435185185185185,0.1611111111111111
90,0.37999999999999995,0.05555555555555555,0.05555555555555555,0.05555555555555555
100,0.385,0.2222222222222222,0.2222222222222222,0.18888888888888888
110,0.3427777777777778,0.1111111111111111,0.1111111111111111,0.1111111111111111
120,0.3838888888888889,0.1111111111111111,0.1111111111111111,0.1111111111111111
130,0.3072222222222223,0.1111111111111111,0.1111111111111111,0.1111111111111111
140,0.3688888888888888,0.1111111111111111,0.1111111111111111,0.1111111111111111
150,0.3416666666666667,0.1111111111111111,0.1111111111111111,0.1111111111111111
160,0.33333333333333326,0.1111111111111111,0.1111111111111111,0.1111111111111111
170,0.30222222222222217,0.1111111111111111,0.1111111111111111,0.1111111111111111
180,0.31111111111111106,0.1111111111111111,0.1111111111111111,0.07777777777777778
190,0.32055555555555554,0.16666666666666666,0.16666666666666666,0.16666666666666666
200,0.32166666666666666,0.2222222222222222,0.2222222222222222,0.18253968253968253
210,0.32666666666666666,0.16666666666666666,0.16666666666666666,0.12698412698412698
220,0.3022222222222223,0.1111111111111111,0.1111111111111111,0.1111111111111111
230,0.31333333333333335,0.2222222222222222,0.2222222222222222,0.18253968253968253
240,0.27111111111111114,0.2222222222222222,0.2222222222222222,0.18253968253968253
250,0.3138888888888889,0.19135802469135801,0.19135802469135801,0.16330891330891328
260,0.31055555555555553,0.1728395061728395,0.1728395061728395,0.13553113553113552
270,0.31388888888888894,0.1111111111111111,0.1111111111111111,0.07142857142857142
280,0.3705555555555556,0.22839506172839505,0.22839506172839505,0.19108669108669107
290,0.33555555555555555,0.2777777777777778,0.2777777777777778,0.20476190476190476
300,0.28888888888888886,0.1111111111111111,0.1111111111111111,0.1111111111111111
310,0.35444444444444445,0.2222222222222222,0.2222222222222222,0.18253968253968253
320,0.2788888888888889,0.16666666666666666,0.16666666666666666,0.12698412698412698
330,0.29777777777777775,0.2222222222222222,0.2222222222222222,0.18253968253968253
340,0.3466666666666667,0.2222222222222222,0.2222222222222222,0.1492063492063492
350,0.3438888888888889,0.2222222222222222,0.2222222222222222,0.18253968253968253
360,0.29888888888888887,0.2222222222222222,0.2222222222222222,0.18253968253968253
370,0.34777777777777774,0.2777777777777778,0.2777777777777778,0.20476190476190476
380,0.28,0.1111111111111111,0.1111111111111111,0.1111111111111111
390,0.3005555555555556,0.2222222222222222,0.2222222222222222,0.18253968253968253
400,0.2977777777777778,0.2222222222222222,0.2222222222222222,0.18253968253968253
410,0.2950000000000001,0.16666666666666666,0.16666666666666666,0.12698412698412698
420,0.26944444444444454,0.17177777777777778,0.17177777777777778,0.13634513634513634
430,0.34888888888888897,0.18518518518518517,0.18518518518518517,0.15476190476190477
440,0.29222222222222227,0.2222222222222222,0.2222222222222222,0.18253968253968253
450,0.27,0.22733333333333336,0.22733333333333336,0.15856735856735857
460,0.3172222222222222,0.16666666666666666,0.16666666666666666,0.12698412698412698
470,0.3288888888888889,0.2222222222222222,0.2222222222222222,0.18253968253968253
480,0.29555555555555557,0.2222222222222222,0.2222222222222222,0.18253968253968253
490,0.3033333333333333,0.16666666666666666,0.16666666666666666,0.12698412698412698
500,0.3122222222222222,0.2222222222222222,0.2222222222222222,0.18253968253968253
510,0.2666666666666667,0.17177777777777778,0.17177777777777778,0.13634513634513634
520,0.28833333333333333,0.2222222222222222,0.2222222222222222,0.18253968253968253
530,0.29500000000000004,0.2222222222222222,0.2222222222222222,0.1492063492063492
540,0.2655555555555556,0.16666666666666666,0.16666666666666666,0.12698412698412698
550,0.22666666666666668,0.22916666666666666,0.22916666666666666,0.1948853615520282
560,0.28888888888888886,0.2222222222222222,0.2222222222222222,0.18253968253968253
570,0.17388888888888887,0.07918518518518519,0.07918518518518519,0.09269434269434268
580,0.24722222222222218,0.2222222222222222,0.2222222222222222,0.18253968253968253
590,0.21944444444444441,0.1111111111111111,0.1111111111111111,0.1111111111111111
600,0.3022222222222223,0.2777777777777778,0.2777777777777778,0.23809523809523808
610,0.24611111111111109,0.26176413255360625,0.26176413255360625,0.24697408744061886
620,0.30000000000000004,0.24074074074074073,0.24074074074074073,0.21031746031746032
630,0.23944444444444446,0.1111111111111111,0.1111111111111111,0.1111111111111111
640,0.21888888888888888,0.16666666666666666,0.16666666666666666,0.12698412698412698
650,0.29777777777777775,0.2222222222222222,0.2222222222222222,0.18253968253968253
660,0.30444444444444446,0.16666666666666666,0.16666666666666666,0.12698412698412698
670,0.3011111111111111,0.2847222222222222,0.2847222222222222,0.21710758377425043
680,0.2661111111111111,0.17962962962962964,0.17962962962962964,0.14800514800514797
690,0.25222222222222224,0.2222222222222222,0.2222222222222222,0.18253968253968253
700,0.21000000000000002,0.05555555555555555,0.05555555555555555,0.05555555555555555
710,0.2911111111111111,0.22916666666666666,0.22916666666666666,0.1948853615520282
720,0.29166666666666674,0.24074074074074073,0.24074074074074073,0.21031746031746032
730,0.25722222222222224,0.22839506172839505,0.22839506172839505,0.19108669108669107
740,0.3066666666666667,0.2222222222222222,0.2222222222222222,0.18253968253968253
750,0.2538888888888889,0.2847222222222222,0.2847222222222222,0.25044091710758376
760,0.2833333333333334,0.18518518518518517,0.18518518518518517,0.15476190476190477
770,0.2677777777777777,0.2041851851851852,0.2041851851851852,0.19269434269434269
780,0.23888888888888887,0.13474074074074074,0.13474074074074074,0.13634513634513634
790,0.2727777777777778,0.3333333333333333,0.3333333333333333,0.26031746031746034
800,0.2033333333333333,0.05555555555555555,0.05555555555555555,0.05555555555555555
810,0.3511111111111111,0.18518518518518517,0.18518518518518517,0.19444444444444445
820,0.22888888888888895,0.1902962962962963,0.1902962962962963,0.1704721204721205
830,0.22444444444444445,0.05555555555555555,0.05555555555555555,0.05555555555555555
840,0.23833333333333329,0.16666666666666666,0.16666666666666666,0.12698412698412698
850,0.22944444444444445,0.1111111111111111,0.1111111111111111,0.1111111111111111
860,0.24666666666666665,0.060666666666666674,0.060666666666666674,0.06491656491656492
870,0.31277777777777777,0.2222222222222222,0.2222222222222222,0.1492063492063492
880,0.2916666666666667,0.2777777777777778,0.2777777777777778,0.23809523809523808
890,0.30944444444444447,0.2777777777777778,0.2777777777777778,0.20476190476190476
